,Shap Value Importance
T2_wavelet-HHL_glcm_SumSquares_x,1.5%
T1E_lbp-2D_glrlm_RunLengthNonUniformity_x,2.0%
T2_wavelet-LLH_gldm_DependenceNonUniformity_x,2.1%
T1E_log-sigma-5-mm-3D_firstorder_90Percentile_x,2.2%
T2_wavelet-HHL_firstorder_Skewness_x,2.7%
T1E_log-sigma-1-mm-3D_glcm_ClusterShade_x,3.9%
T2_wavelet-LLH_glcm_ClusterShade_y,4.1%
T1E_wavelet-HLL_firstorder_Median_x,4.2%
T2_original_glszm_LargeAreaEmphasis_y,4.3%
T1E_log-sigma-5-mm-3D_glrlm_LowGrayLevelRunEmphasis_x,4.3%
T2_original_shape_Maximum3DDiameter_y,4.7%
T2_wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized_x,4.8%
T1E_log-sigma-3-mm-3D_glcm_Autocorrelation_x,5.1%
T1E_wavelet-LHL_firstorder_Median_x,5.2%
T1E_log-sigma-3-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_x,6.4%
T1E_log-sigma-3-mm-3D_glszm_LowGrayLevelZoneEmphasis_x,6.7%
T1E_log-sigma-3-mm-3D_glrlm_LongRunLowGrayLevelEmphasis_x,6.8%
T2_log-sigma-1-mm-3D_gldm_LowGrayLevelEmphasis_x,6.9%
T1E_wavelet-LHL_firstorder_Mean_x,7.7%
AgeOg,14.6%
